X,Y,Z,strip1,strip2,strip3,strip4,strip5,strip6,strip7
0,0.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0,0,0.1922,0.7199,0.5786,0.0024,0.0000,0.0000,0.0000
1,0.0,0,0.1449,0.6912,0.5959,0.0000,0.0000,0.0000,0.0000
2,0.0,0,0.1160,0.6924,0.6138,0.0000,0.0000,0.0000,0.0000
3,0.0,0,0.0829,0.6956,0.6275,0.0000,0.0000,0.0000,0.0000
4,0.0,0,0.0464,0.6785,0.6494,0.0000,0.0000,0.0000,0.0000
5,0.0,0,0.0346,0.6686,0.6840,0.0000,0.0000,0.0000,0.0000
6,0.0,0,0.0023,0.6574,0.6734,0.0218,0.0000,0.0000,0.0000
7,0.0,0,0.0000,0.6501,0.6875,0.0382,0.0000,0.0000,0.0000
8,0.0,0,0.0000,0.6278,0.6954,0.0913,0.0000,0.0000,0.0000
9,0.0,0,0.0018,0.6051,0.7038,0.1272,0.0000,0.0000,0.0000
10,0.0,0,0.0030,0.5926,0.7132,0.1636,0.0000,0.0000,0.0000
11,0.0,0,0.0000,0.5729,0.7337,0.2077,0.0000,0.0000,0.0000
12,0.0,0,0.0000,0.5474,0.7454,0.2406,0.0000,0.0000,0.0000
13,0.0,0,0.0000,0.5161,0.7466,0.2461,0.0000,0.0000,0.0000
14,0.0,0,0.0000,0.4986,0.7608,0.3243,0.0000,0.0000,0.0000
15,0.0,0,0.0000,0.4928,0.7579,0.3562,0.0000,0.0000,0.0000
16,0.0,0,0.0000,0.4553,0.7608,0.4195,0.0000,0.0000,0.0000
17,0.0,0,0.0000,0.4300,0.7535,0.4499,0.0000,0.0000,0.0000
18,0.0,0,0.0000,0.4111,0.7561,0.4825,0.0000,0.0000,0.0000
19,0.0,0,0.0000,0.3836,0.7466,0.5131,0.0000,0.0000,0.0000
20,0.0,0,0.0000,0.3675,0.7489,0.5359,0.0000,0.0000,0.0000
21,0.0,0,0.0000,0.3372,0.7469,0.5513,0.0000,0.0000,0.0000
22,0.0,0,0.0000,0.3168,0.7467,0.5769,0.0000,0.0000,0.0000
23,0.0,0,0.0000,0.2778,0.7467,0.5838,0.0000,0.0000,0.0000
24,0.0,0,0.0000,0.2658,0.7478,0.6075,0.0000,0.0000,0.0000
25,0.0,0,0.0000,0.1938,0.7501,0.6208,0.0000,0.0000,0.0000
26,0.0,0,0.0000,0.1641,0.7481,0.6451,0.0000,0.0000,0.0000
27,0.0,0,0.0000,0.0781,0.7415,0.6628,0.0000,0.0000,0.0000
28,0.0,0,0.0000,0.0613,0.7116,0.6854,0.0000,0.0000,0.0000
29,0.0,0,0.0000,0.0053,0.7032,0.7029,0.0000,0.0000,0.0000
30,0.0,0,0.0000,0.0000,0.6786,0.7222,0.0000,0.0000,0.0000
31,0.0,0,0.0000,0.0000,0.6621,0.7318,0.0000,0.0000,0.0000
32,0.0,0,0.0004,0.0000,0.6421,0.7393,0.0091,0.0000,0.0000
33,0.0,0,0.0000,0.0000,0.6163,0.7652,0.0797,0.0000,0.0000
34,0.0,0,0.0000,0.0000,0.5997,0.7634,0.1538,0.0000,0.0000
35,0.0,0,0.0000,0.0000,0.5861,0.7775,0.1808,0.0000,0.0000
36,0.0,0,0.0000,0.0000,0.5707,0.7931,0.2680,0.0000,0.0000
37,0.0,0,0.0000,0.0000,0.5551,0.8034,0.3045,0.0000,0.0000
38,0.0,0,0.0000,0.0000,0.5211,0.8012,0.3608,0.0000,0.0000
39,0.0,0,0.0000,0.0000,0.5015,0.7977,0.4138,0.0000,0.0000
40,0.0,0,0.0000,0.0000,0.4866,0.8028,0.4449,0.0000,0.0000
41,0.0,0,0.0000,0.0000,0.4775,0.8033,0.4964,0.0000,0.0000
42,0.0,0,0.0000,0.0000,0.4150,0.8023,0.5376,0.0000,0.0000
43,0.0,0,0.0000,0.0000,0.3904,0.8000,0.5778,0.0000,0.0000
44,0.0,0,0.0000,0.0000,0.3295,0.7964,0.5983,0.0000,0.0000
45,0.0,0,0.0000,0.0000,0.3018,0.7917,0.6354,0.0000,0.0000
46,0.0,0,0.0000,0.0000,0.2569,0.7825,0.6474,0.0000,0.0000
47,0.0,0,0.0000,0.0000,0.2286,0.7947,0.6702,0.0000,0.0000
48,0.0,0,0.0000,0.0000,0.2020,0.7850,0.6838,0.0000,0.0000
49,0.0,0,0.0000,0.0000,0.1864,0.7884,0.7274,0.0000,0.0000
50,0.0,0,0.0000,0.0000,0.1546,0.7822,0.7369,0.0000,0.0000
51,0.0,0,0.0000,0.0000,0.0844,0.7739,0.7513,0.0000,0.0000
52,0.0,0,0.0000,0.0000,0.0244,0.7654,0.7630,0.0000,0.0000
53,0.0,0,0.0000,0.0000,0.0000,0.7405,0.7652,0.0000,0.0000
54,0.0,0,0.0000,0.0000,0.0000,0.7325,0.7789,0.0000,0.0000
55,0.0,0,0.0000,0.0000,0.0000,0.7142,0.7936,0.0630,0.0000
56,0.0,0,0.0000,0.0000,0.0000,0.7026,0.8013,0.0984,0.0000
57,0.0,0,0.0000,0.0000,0.0000,0.6959,0.8062,0.1474,0.0000
58,0.0,0,0.0000,0.0000,0.0000,0.6810,0.8128,0.1629,0.0000
59,0.0,0,0.0000,0.0000,0.0000,0.6544,0.8187,0.2299,0.0000
60,0.0,0,0.0000,0.0000,0.0000,0.6441,0.8234,0.2778,0.0000
61,0.0,0,0.0000,0.0000,0.0000,0.6222,0.8341,0.3364,0.0000
62,0.0,0,0.0000,0.0000,0.0000,0.5960,0.8332,0.3898,0.0000
63,0.0,0,0.0000,0.0000,0.0000,0.5671,0.8341,0.4543,0.0000
64,0.0,0,0.0000,0.0000,0.0000,0.5489,0.8393,0.4755,0.0000
65,0.0,0,0.0000,0.0000,0.0000,0.5372,0.8347,0.5104,0.0000
66,0.0,0,0.0000,0.0000,0.0000,0.4803,0.8456,0.5497,0.0000
67,0.0,0,0.0000,0.0000,0.0000,0.4407,0.8529,0.5727,0.0000
68,0.0,0,0.0000,0.0000,0.0000,0.4105,0.8474,0.5951,0.0000
69,0.0,0,0.0000,0.0000,0.0000,0.3407,0.8438,0.6406,0.0000
70,0.0,0,0.0000,0.0000,0.0000,0.3272,0.8475,0.6673,0.0000
0,-2.5,0,0.1463,0.7267,0.6086,0.0000,0.0000,0.0000,0.0000
1,-2.5,0,0.1202,0.7236,0.6432,0.0000,0.0000,0.0000,0.0000
2,-2.5,0,0.0863,0.7295,0.6564,0.0000,0.0000,0.0000,0.0000
3,-2.5,0,0.0558,0.7167,0.6815,0.0000,0.0000,0.0000,0.0000
4,-2.5,0,0.0175,0.7124,0.6872,0.0000,0.0000,0.0000,0.0000
5,-2.5,0,0.0000,0.6822,0.7008,0.0000,0.0000,0.0000,0.0000
6,-2.5,0,0.0042,0.6792,0.7259,0.0000,0.0000,0.0000,0.0000
7,-2.5,0,0.0000,0.6574,0.7252,0.0057,0.0000,0.0000,0.0000
8,-2.5,0,0.0029,0.6542,0.7392,0.0596,0.0000,0.0000,0.0000
9,-2.5,0,0.0000,0.6344,0.7460,0.0879,0.0000,0.0000,0.0000
10,-2.5,0,0.0000,0.6242,0.7542,0.1127,0.0000,0.0000,0.0000
11,-2.5,0,0.0000,0.6181,0.7615,0.1873,0.0000,0.0000,0.0000
12,-2.5,0,0.0000,0.5888,0.7655,0.2068,0.0000,0.0000,0.0000
13,-2.5,0,0.0000,0.5592,0.7735,0.2788,0.0000,0.0000,0.0000
14,-2.5,0,0.0000,0.5357,0.7743,0.3319,0.0000,0.0000,0.0000
15,-2.5,0,0.0000,0.5068,0.7668,0.3712,0.0000,0.0000,0.0000
16,-2.5,0,0.0000,0.4813,0.7736,0.4287,0.0000,0.0000,0.0000
17,-2.5,0,0.0000,0.4613,0.7754,0.4727,0.0000,0.0000,0.0000
18,-2.5,0,0.0000,0.4614,0.7669,0.5001,0.0000,0.0000,0.0000
19,-2.5,0,0.0000,0.4450,0.7725,0.5367,0.0000,0.0000,0.0000
20,-2.5,0,0.0000,0.4259,0.7807,0.5481,0.0000,0.0000,0.0000
21,-2.5,0,0.0000,0.3830,0.7739,0.5765,0.0000,0.0000,0.0000
22,-2.5,0,0.0000,0.3675,0.7732,0.5958,0.0000,0.0000,0.0000
23,-2.5,0,0.0000,0.3137,0.7764,0.6087,0.0000,0.0000,0.0000
24,-2.5,0,0.0000,0.2693,0.7702,0.6428,0.0000,0.0000,0.0000
25,-2.5,0,0.0000,0.1891,0.7642,0.6484,0.0000,0.0000,0.0000
