DigitWidth, DigitLength, pointSize, method, R
35, 55, 1.25, NAIVE, 0.9965653
35, 55, 1.25, LINEAR, 0.99537677
35, 55, 1.25, GAUSSIAN, 0.9973327
35, 55, 1.25, CUBIC, 0.991894
35, 55, 1.25, PARABOLIC, 0.9917536
35, 55, 1.25, BLAIS_RIOUX, 0.9982335
35, 55, 1.25, COM, 0.99227846
35, 55, 1.25, MICROCHIP, 0.9914692
35, 55, 2.5, NAIVE, 0.9642369
35, 55, 2.5, LINEAR, 0.9949276
35, 55, 2.5, GAUSSIAN, 0.9978331
35, 55, 2.5, CUBIC, 0.9911316
35, 55, 2.5, PARABOLIC, 0.99273384
35, 55, 2.5, BLAIS_RIOUX, 0.98795867
35, 55, 2.5, COM, 0.9963411
35, 55, 2.5, MICROCHIP, 0.9944314
35, 55, 3.75, NAIVE, 0.9861972
35, 55, 3.75, LINEAR, 0.9983388
35, 55, 3.75, GAUSSIAN, 0.99954283
35, 55, 3.75, CUBIC, 0.98823225
35, 55, 3.75, PARABOLIC, 0.997981
35, 55, 3.75, BLAIS_RIOUX, 0.99613637
35, 55, 3.75, COM, 0.9986078
35, 55, 3.75, MICROCHIP, 0.99940467
35, 70, 1.25, NAIVE, 0.9908069
35, 70, 1.25, LINEAR, 0.9959738
35, 70, 1.25, GAUSSIAN, 0.9972248
35, 70, 1.25, CUBIC, 0.99125934
35, 70, 1.25, PARABOLIC, 0.99216557
35, 70, 1.25, BLAIS_RIOUX, 0.9965267
35, 70, 1.25, COM, 0.9942854
35, 70, 1.25, MICROCHIP, 0.9928905
35, 70, 2.5, NAIVE, 0.9723244
35, 70, 2.5, LINEAR, 0.9963062
35, 70, 2.5, GAUSSIAN, 0.9972353
35, 70, 2.5, CUBIC, 0.9894561
35, 70, 2.5, PARABOLIC, 0.9927471
35, 70, 2.5, BLAIS_RIOUX, 0.99057555
35, 70, 2.5, COM, 0.99765074
35, 70, 2.5, MICROCHIP, 0.9962802
35, 70, 3.75, NAIVE, 0.96887505
35, 70, 3.75, LINEAR, 0.9963163
35, 70, 3.75, GAUSSIAN, 0.99842185
35, 70, 3.75, CUBIC, 0.9846042
35, 70, 3.75, PARABOLIC, 0.9964514
35, 70, 3.75, BLAIS_RIOUX, 0.9905183
35, 70, 3.75, COM, 0.998681
35, 70, 3.75, MICROCHIP, 0.9991043
35, 85, 1.25, NAIVE, 0.9929626
35, 85, 1.25, LINEAR, 0.99579746
35, 85, 1.25, GAUSSIAN, 0.99922603
35, 85, 1.25, CUBIC, 0.9918149
35, 85, 1.25, PARABOLIC, 0.9916947
35, 85, 1.25, BLAIS_RIOUX, 0.997106
35, 85, 1.25, COM, 0.99563986
35, 85, 1.25, MICROCHIP, 0.9928692
35, 85, 2.5, NAIVE, 0.9805018
35, 85, 2.5, LINEAR, 0.9965295
35, 85, 2.5, GAUSSIAN, 0.9956358
35, 85, 2.5, CUBIC, 0.99105936
35, 85, 2.5, PARABOLIC, 0.99396616
35, 85, 2.5, BLAIS_RIOUX, 0.9935864
35, 85, 2.5, COM, 0.99669546
35, 85, 2.5, MICROCHIP, 0.9969098
35, 85, 3.75, NAIVE, 0.98591876
35, 85, 3.75, LINEAR, 0.99807435
35, 85, 3.75, GAUSSIAN, 0.9982637
35, 85, 3.75, CUBIC, 0.9834698
35, 85, 3.75, PARABOLIC, 0.9980877
35, 85, 3.75, BLAIS_RIOUX, 0.99474
35, 85, 3.75, COM, 0.99606943
35, 85, 3.75, MICROCHIP, 0.9977471
35, 100, 1.25, NAIVE, 0.99102485
