Participant,Freq,Amp,Timbre,Experience,Rating
0,0,0,0,Roughness,0.5
0,0,0,0,Sharpness,0.01
0,0,0,0,Bumpyness,2
0,0,0,0,Adhesiveness,0.5
0,0,0,1,Roughness,3
0,0,0,1,Sharpness,0.02
0,0,0,1,Bumpyness,2.3
0,0,0,1,Adhesiveness,1.5
0,0,0,2,Roughness,5
0,0,0,2,Sharpness,0.1
0,0,0,2,Bumpyness,3
0,0,0,2,Adhesiveness,1
0,0,0,3,Roughness,3
0,0,0,3,Sharpness,0.1
0,0,0,3,Bumpyness,2
0,0,0,3,Adhesiveness,1
0,0,1,0,Roughness,1
0,0,1,0,Sharpness,0.01
0,0,1,0,Bumpyness,2
0,0,1,0,Adhesiveness,0.2
0,0,1,1,Roughness,5.5
0,0,1,1,Sharpness,0.08
0,0,1,1,Bumpyness,4
0,0,1,1,Adhesiveness,1
0,0,1,2,Roughness,4
0,0,1,2,Sharpness,0.15
0,0,1,2,Bumpyness,8
0,0,1,2,Adhesiveness,2
0,0,1,3,Roughness,5
0,0,1,3,Sharpness,0.35
0,0,1,3,Bumpyness,5
0,0,1,3,Adhesiveness,2
0,0,2,0,Roughness,3
0,0,2,0,Sharpness,0.12
0,0,2,0,Bumpyness,2
0,0,2,0,Adhesiveness,1
0,0,2,1,Roughness,6.5
0,0,2,1,Sharpness,0.25
0,0,2,1,Bumpyness,7
0,0,2,1,Adhesiveness,2.2
0,0,2,2,Roughness,6
0,0,2,2,Sharpness,0.2
0,0,2,2,Bumpyness,7
0,0,2,2,Adhesiveness,3
0,0,2,3,Roughness,6
0,0,2,3,Sharpness,0.3
0,0,2,3,Bumpyness,4
0,0,2,3,Adhesiveness,2
0,1,0,0,Roughness,0.2
0,1,0,0,Sharpness,0.01
0,1,0,0,Bumpyness,1
0,1,0,0,Adhesiveness,0.1
0,1,0,1,Roughness,2
0,1,0,1,Sharpness,0.2
0,1,0,1,Bumpyness,2
0,1,0,1,Adhesiveness,1.5
